guess,totalgreen,totalyellow,greenrank,yellowrank
ABACK,566,885,#2188,#2977
ABAFT,615,1040,#1794,#2793
ABASE,862,1381,#310,#2068
ABATE,834,1487,#407,#1702
ABBEY,633,1395,#1649,#2023
ABBOT,462,1520,#2774,#1579
ABHOR,377,2011,#3008,#298
ABIDE,719,1792,#969,#751
ABLER,580,2290,#2070,#50
ABODE,727,1828,#910,#663
ABOUT,591,1717,#1982,#944
ABOVE,710,1675,#1031,#1071
ABUSE,726,1799,#917,#725
ABYSS,302,1377,#3085,#2079
ACHED,468,1993,#2747,#330
ACHES,402,2226,#2956,#78
ACIDS,413,1857,#2930,#600
ACORN,553,2083,#2277,#213
ACRES,519,2447,#2473,#10
ACRID,488,1972,#2643,#370
ACTED,542,2145,#2346,#144
ACTOR,468,2281,#2747,#54
ACUTE,715,2023,#1001,#280
ADAGE,795,1315,#546,#2236
ADAPT,623,1201,#1735,#2513
ADDED,504,1331,#2560,#2193
ADDER,563,1912,#2203,#494
ADEPT,497,2101,#2596,#187
ADIEU,550,2095,#2292,#198
ADMIT,504,1736,#2560,#884
ADOBE,695,1860,#1143,#592
ADOPT,566,1737,#2188,#879
ADORE,798,2197,#537,#93
ADORN,541,2043,#2359,#256
ADULT,574,1775,#2130,#788
AEGIS,498,2214,#2593,#88
AEONS,662,2275,#1384,#55
AFFIX,276,1132,#3094,#2642
AFIRE,780,2048,#627,#249
AFOOT,617,1376,#1782,#2081
AFTER,579,2290,#2076,#50
AGAIN,603,1300,#1889,#2282
AGAPE,763,1310,#710,#2256
AGATE,834,1521,#407,#1577
AGENT,599,2119,#1919,#168
AGILE,785,1966,#602,#385
AGING,486,1374,#2651,#2083
AGLOW,308,1801,#3079,#721
AGONY,706,1468,#1062,#1776
AGREE,825,1708,#439,#972
AHEAD,581,1597,#2065,#1322
AIDED,632,1690,#1661,#1023
AIDES,566,2195,#2188,#95
AILED,654,2146,#1473,#142
AIMED,617,1921,#1782,#477
AIRED,701,2250,#1102,#65
AISLE,775,2192,#645,#99
ALARM,671,1452,#1317,#1841
ALBUM,397,1568,#2963,#1412
ALDER,695,2258,#1143,#61
ALERT,716,2482,#994,#5
ALIAS,605,1588,#1877,#1345
ALIBI,475,1429,#2713,#1912
ALIEN,772,2160,#665,#129
ALIKE,846,1820,#361,#683
ALIVE,839,1791,#390,#754
ALLAY,707,882,#1049,#2980
ALLEY,808,1555,#499,#1466
ALLOT,637,1680,#1622,#1054
ALLOW,445,1484,#2834,#1716
ALLOY,675,1393,#1274,#2032
ALOES,714,2297,#1006,#43
ALOFT,695,1728,#1143,#909
ALONE,950,2026,#124,#278
ALONG,631,1753,#1674,#837
ALOOF,575,1379,#2123,#2071
ALOUD,616,1736,#1786,#884
ALPHA,366,1438,#3025,#1888
ALTAR,620,1804,#1760,#716
ALTER,721,2477,#952,#6
ALTOS,463,2250,#2769,#65
AMASS,556,923,#2250,#2941
AMAZE,763,1084,#710,#2724
AMBER,559,2049,#2228,#246
AMBLE,650,1807,#1506,#712
AMEND,504,1962,#2560,#395
AMIGO,444,1750,#2838,#846
AMISS,491,1423,#2624,#1934
AMITY,679,1557,#1243,#1452
AMONG,511,1611,#2523,#1277
AMOUR,555,1892,#2263,#531
AMPLE,648,1855,#1526,#601
AMPLY,541,1415,#2359,#1956
AMUSE,743,1809,#822,#708
ANGEL,585,2094,#2021,#200
ANGER,610,2220,#1839,#82
ANGLE,701,1978,#1102,#353
ANGRY,594,1689,#1954,#1025
ANGST,568,1774,#2177,#792
ANIME,780,1890,#627,#535
ANKLE,662,1932,#1384,#458
ANNEX,523,1483,#2454,#1719
ANNOY,624,1335,#1727,#2183
ANNUL,477,1495,#2703,#1679
ANTES,521,2413,#2465,#18
ANTIC,425,2055,#2903,#239
ANVIL,480,1739,#2685,#873
APACE,875,1299,#276,#2286
APART,742,1439,#823,#1883
APING,523,1574,#2454,#1394
APPAL,451,1065,#2815,#2756
APPLE,668,1622,#1334,#1236
APPLY,561,1182,#2215,#2554
APRON,472,2075,#2726,#219
APTLY,605,1652,#1877,#1149
AREAS,600,2083,#1911,#213
ARENA,633,2015,#1649,#289
ARGUE,775,1974,#645,#364
ARISE,990,2128,#72,#160
ARMED,677,2014,#1260,#292
AROMA,615,1550,#1794,#1480
AROSE,998,2164,#60,#125
ARRAY,810,906,#493,#2956
ARROW,548,1508,#2310,#1632
ARSON,552,2199,#2282,#92
ASHEN,455,2253,#2797,#63
ASHES,389,1939,#2987,#436
ASIDE,723,2038,#938,#263
ASKED,454,1969,#2802,#377
ASKEW,374,1906,#3014,#508
ASPEN,485,2167,#2656,#119
ASSAY,545,986,#2325,#2870
ASSES,430,1597,#2882,#1322
ASSET,608,1946,#1857,#417
ASTER,588,2571,#2003,#2
ASTIR,491,2329,#2624,#35
ATLAS,409,1825,#2937,#670
ATOLL,625,1692,#1720,#1014
ATOMS,458,1993,#2786,#330
ATONE,868,2147,#295,#139
ATTAR,538,1442,#2375,#1873
ATTIC,418,1692,#2921,#1014
AUDIO,477,1873,#2703,#566
AUDIT,630,1717,#1685,#944
AUGER,664,2085,#1369,#210
AUGHT,512,1601,#2518,#1305
AUGUR,500,1428,#2582,#1915
AUNTS,472,1970,#2726,#373
AURAS,517,1674,#2486,#1073
AUTOS,442,2116,#2846,#172
AVAIL,637,1219,#1622,#2477
AVERS,401,2343,#2959,#30
AVERT,579,2243,#2076,#71
AVOID,546,1583,#2323,#1362
AVOWS,369,1580,#3023,#1377
AWAIT,739,1183,#844,#2552
AWAKE,798,1084,#537,#2724
AWARD,617,1213,#1782,#2488
AWARE,874,1499,#280,#1666
AWFUL,356,1482,#3041,#1723
AWOKE,741,1620,#827,#1246
AXIOM,444,1547,#2838,#1495
AXLES,456,2055,#2793,#239
AZURE,705,1837,#1069,#641
BABEL,748,1490,#796,#1693
BABES,648,1551,#1526,#1475
BACKS,468,1381,#2747,#2068
BACON,584,1612,#2034,#1271
BADGE,820,1438,#460,#1888
BADLY,773,1193,#659,#2527
BAGGY,703,734,#1088,#3051
BAITS,677,1703,#1260,#984
BAIZE,912,1343,#176,#2163
BAKED,681,1492,#1229,#1690
BAKER,740,1790,#834,#759
BALES,686,1994,#1194,#327
BALLS,579,1329,#2076,#2198
BALMY,728,1182,#895,#2554
BANAL,709,1162,#1035,#2594
BANDS,537,1526,#2379,#1567
BANDY,753,1139,#771,#2632
BANGS,543,1471,#2337,#1763
BANJO,510,1370,#2531,#2097
BANKS,527,1402,#2433,#1989
BANNS,623,1176,#1735,#2568
BARBS,523,1490,#2454,#1693
BARDS,560,1728,#2225,#909
BARED,799,1865,#531,#583
BARGE,889,1726,#232,#915
BARKS,550,1604,#2292,#1295
BARNS,646,1774,#1545,#792
BARON,666,1835,#1347,#645
BASAL,656,1250,#1454,#2418
BASED,723,1751,#938,#844
BASER,782,2049,#614,#246
BASES,657,1569,#1444,#1407
BASIC,561,1626,#2215,#1226
BASIL,660,1681,#1407,#1051
BASIN,626,1641,#1714,#1191
BASIS,560,1327,#2225,#2205
BASSO,587,1344,#2010,#2161
BASTE,857,1862,#326,#588
BATCH,652,1428,#1489,#1915
BATED,756,1796,#754,#735
BATHE,808,1763,#499,#816
BATHS,485,1710,#2656,#964
BATON,623,1766,#1735,#807
BAYOU,471,1588,#2731,#1345
BEACH,787,1591,#583,#1338
BEADS,652,1822,#1489,#678
BEADY,868,1435,#295,#1900
BEAKS,642,1698,#1577,#999
BEAMS,651,1767,#1494,#803
BEANS,738,1868,#848,#574
BEARD,784,1880,#606,#552
BEARS,718,2113,#979,#177
BEAST,908,1811,#184,#704
BEAUX,643,1463,#1571,#1795
BEECH,661,1125,#1396,#2661
BEETS,576,1551,#2112,#1475
BEFIT,668,1538,#1334,#1531
BEGAN,579,1811,#2076,#704
BEGAT,691,1812,#1167,#702
BEGET,792,1119,#561,#2677
BEGIN,583,1584,#2047,#1359
BEGOT,659,1665,#1420,#1108
BEGUN,516,1498,#2494,#1671
BEING,677,1490,#1260,#1693
BELIE,872,1253,#283,#2410
BELLE,862,830,#310,#3011
BELLS,539,1485,#2372,#1710
BELLY,755,1098,#763,#2701
BELOW,499,1692,#2586,#1014
BELTS,523,1975,#2454,#361
BENCH,632,1451,#1661,#1842
BENDS,497,1682,#2596,#1049
BERGS,526,1829,#2436,#657
BERRY,802,1178,#521,#2563
BERTH,651,1850,#1494,#613
BERYL,568,1871,#2177,#570
BESET,795,1332,#546,#2191
BESOM,491,1748,#2624,#853
BEVEL,706,1045,#1062,#2785
BIBLE,785,1230,#602,#2458
BIDED,651,1161,#1494,#2596
BIDES,585,1666,#2021,#1103
BIGHT,548,1208,#2310,#2494
BIGOT,620,1365,#1760,#2109
BILGE,763,1478,#710,#1737
BILLS,500,1185,#2582,#2546
BILLY,716,798,#994,#3023
BINDS,458,1382,#2786,#2065
BIPED,633,1414,#1649,#1963
BIRCH,616,1353,#1786,#2140
BIRDS,481,1584,#2679,#1359
BIRTH,612,1550,#1826,#1480
BISON,511,1577,#2523,#1384
BITCH,573,1284,#2140,#2326
BITES,611,1885,#1833,#544
BLACK,722,1166,#945,#2586
BLADE,940,1573,#134,#1395
BLAME,939,1518,#136,#1588
BLAND,769,1333,#683,#2187
BLANK,754,1214,#767,#2485
BLARE,1006,1864,#52,#584
BLAST,873,1509,#281,#1627
BLAZE,902,1355,#198,#2132
BLEAK,614,1765,#1802,#810
BLEAT,741,2017,#827,#287
BLEED,730,1191,#881,#2529
BLEND,643,1575,#1571,#1390
BLENT,755,1708,#763,#972
BLESS,569,1436,#2171,#1897
BLEST,747,1751,#800,#844
BLIND,704,1175,#1077,#2569
BLINK,689,1056,#1175,#2771
BLISS,630,1036,#1685,#2799
BLOCK,665,1044,#1354,#2787
BLOCS,614,1396,#1802,#2020
BLOND,712,1211,#1019,#2490
BLOOD,666,901,#1347,#2963
BLOOM,607,904,#1862,#2960
BLOTS,610,1593,#1839,#1332
BLOWN,591,1189,#1982,#2536
BLOWS,525,1290,#2446,#2313
BLUER,779,1715,#631,#951
BLUES,654,1650,#1473,#1157
