Date,puzzle_num,answer,year,month,day
"April 08, 2026",1754,INLET,2026,4,8
"April 07, 2026",1753,DENSE,2026,4,7
"April 06, 2026",1752,SWORN,2026,4,6
"April 05, 2026",1751,ENVOY,2026,4,5
"April 04, 2026",1750,SANDY,2026,4,4
"April 03, 2026",1749,SINGE,2026,4,3
"April 02, 2026",1748,SOBER,2026,4,2
"April 01, 2026",1747,FIZZY,2026,4,1
"March 31, 2026",1746,SWAMP,2026,3,31
"March 30, 2026",1745,COMET,2026,3,30
"March 29, 2026",1744,CHUMP,2026,3,29
"March 28, 2026",1743,AFOOT,2026,3,28
"March 27, 2026",1742,IVORY,2026,3,27
"March 26, 2026",1741,BEFIT,2026,3,26
"March 25, 2026",1740,WISER,2026,3,25
"March 24, 2026",1739,BROOD,2026,3,24
"March 23, 2026",1738,SERIF,2026,3,23
"March 22, 2026",1737,BASIL,2026,3,22
"March 21, 2026",1736,SLICK,2026,3,21
"March 20, 2026",1735,OASIS,2026,3,20
"March 19, 2026",1734,REHAB,2026,3,19
"March 18, 2026",1733,AMPLY,2026,3,18
"March 17, 2026",1732,CLASP,2026,3,17
"March 16, 2026",1731,DRAMA,2026,3,16
"March 15, 2026",1730,GRADE,2026,3,15
"March 14, 2026",1729,ANKLE,2026,3,14
"March 13, 2026",1728,EATEN,2026,3,13
"March 12, 2026",1727,SMELL,2026,3,12
"March 11, 2026",1726,TEDDY,2026,3,11
"March 10, 2026",1725,SHOAL,2026,3,10
"March 09, 2026",1724,HASTY,2026,3,9
"March 08, 2026",1723,LOBBY,2026,3,8
"March 07, 2026",1722,VOGUE,2026,3,7
"March 06, 2026",1721,GUNKY,2026,3,6
"March 05, 2026",1720,SHEEP,2026,3,5
"March 04, 2026",1719,THEFT,2026,3,4
"March 03, 2026",1718,LINEN,2026,3,3
"March 02, 2026",1717,SLIME,2026,3,2
"March 01, 2026",1716,FLUKE,2026,3,1
"February 28, 2026",1715,HYDRA,2026,2,28
"February 27, 2026",1714,DIZZY,2026,2,27
"February 26, 2026",1713,LANCE,2026,2,26
"February 25, 2026",1712,SHRED,2026,2,25
"February 24, 2026",1711,BUYER,2026,2,24
"February 23, 2026",1710,ATTIC,2026,2,23
"February 22, 2026",1709,GUAVA,2026,2,22
"February 21, 2026",1708,AWAKE,2026,2,21
"February 20, 2026",1707,STANK,2026,2,20
"February 19, 2026",1706,HOIST,2026,2,19
"February 18, 2026",1705,MOGUL,2026,2,18
"February 17, 2026",1704,SQUAD,2026,2,17
"February 16, 2026",1703,ROOST,2026,2,16
"February 15, 2026",1702,SKULL,2026,2,15
"February 14, 2026",1701,BLOOM,2026,2,14
"February 13, 2026",1700,MOOCH,2026,2,13
"February 12, 2026",1699,SURGE,2026,2,12
"February 11, 2026",1698,VEGAN,2026,2,11
"February 10, 2026",1697,SCENE,2026,2,10
"February 09, 2026",1696,CELLO,2026,2,9
"February 08, 2026",1695,EMBED,2026,2,8
"February 07, 2026",1694,BLEAT,2026,2,7
"February 06, 2026",1693,GAVEL,2026,2,6
"February 05, 2026",1692,SWOOP,2026,2,5
"February 04, 2026",1691,CHIDE,2026,2,4
"February 03, 2026",1690,WEIGH,2026,2,3
"February 02, 2026",1689,CIGAR,2026,2,2
"February 01, 2026",1688,SPINY,2026,2,1
"January 31, 2026",1687,ALLOT,2026,1,31
"January 30, 2026",1686,JUMBO,2026,1,30
"January 29, 2026",1685,FLAKY,2026,1,29
"January 28, 2026",1684,CRUEL,2026,1,28
"January 27, 2026",1683,DUSKY,2026,1,27
"January 26, 2026",1682,FREAK,2026,1,26
"January 25, 2026",1681,STRUT,2026,1,25
"January 24, 2026",1680,CLIFF,2026,1,24
"January 23, 2026",1679,BARON,2026,1,23
"January 22, 2026",1678,CLINK,2026,1,22
"January 21, 2026",1677,CUBIC,2026,1,21
"January 20, 2026",1676,SULLY,2026,1,20
"January 19, 2026",1675,WAXEN,2026,1,19
"January 18, 2026",1674,SUMAC,2026,1,18
"January 17, 2026",1673,FIERY,2026,1,17
"January 16, 2026",1672,RACER,2026,1,16
"January 15, 2026",1671,CHASM,2026,1,15
"January 14, 2026",1670,AVOID,2026,1,14
"January 13, 2026",1669,GUMBO,2026,1,13
"January 12, 2026",1668,TRIAL,2026,1,12
"January 11, 2026",1667,QUARK,2026,1,11
"January 10, 2026",1666,MANIC,2026,1,10
"January 09, 2026",1665,EIGHT,2026,1,9
"January 08, 2026",1664,BLAST,2026,1,8
"January 07, 2026",1663,PECAN,2026,1,7
"January 06, 2026",1662,OOMPH,2026,1,6
"January 05, 2026",1661,FILLY,2026,1,5
"January 04, 2026",1660,POSSE,2026,1,4
"January 03, 2026",1659,SITAR,2026,1,3
"January 02, 2026",1658,PROOF,2026,1,2
"January 01, 2026",1657,FABLE,2026,1,1
"December 31, 2025",1656,SIREN,2025,12,31
"December 30, 2025",1655,DECOR,2025,12,30
"December 29, 2025",1654,FRUIT,2025,12,29
"December 28, 2025",1653,ABBOT,2025,12,28
"December 27, 2025",1652,BATCH,2025,12,27
"December 26, 2025",1651,SPEED,2025,12,26
